EngagementID,ContentID,ProductID,EngagementDate,ContentType,Likes,CampaignID,Views,Clicks
150,45,13,25-07-2024,SOCIALMEDIA,85,6,4611,373
151,30,12,30-05-2024,BLOG,299,1,5131,1303
153,41,16,15-12-2025,BLOG,0,6,392,5
155,3,11,3/5/2024,BLOG,33,17,4350,269
156,24,4,18-01-2024,SOCIALMEDIA,26,19,1657,164
157,36,3,14-01-2025,SOCIALMEDIA,7,10,743,47
159,29,18,4/10/2024,SOCIALMEDIA,9,5,361,64
161,39,19,19-04-2024,BLOG,180,18,4407,1105
162,23,14,17-03-2025,BLOG,7,17,1211,104
163,9,5,8/1/2023,VIDEO,233,16,4613,1553
164,6,14,7/9/2024,SOCIALMEDIA,32,6,2995,432
168,36,14,14-05-2025,SOCIALMEDIA,21,15,1969,201
171,46,19,5/11/2025,VIDEO,0,1,79,2
172,26,1,13-12-2023,SOCIALMEDIA,15,9,801,97
173,20,3,9/5/2023,VIDEO,393,17,6025,2221
174,16,18,16-05-2024,SOCIALMEDIA,27,3,5073,312
175,4,16,10/6/2024,VIDEO,16,15,3550,300
176,9,4,28-06-2023,SOCIALMEDIA,16,5,1142,121
177,2,7,24-03-2023,BLOG,773,5,8103,1781
179,25,19,4/5/2025,VIDEO,3,19,1052,65
180,39,12,18-01-2024,BLOG,113,11,4079,473
181,16,13,2/2/2025,VIDEO,12,14,2963,199
182,7,12,29-04-2024,VIDEO,6,20,422,68
183,50,16,25-01-2025,BLOG,5,4,1395,87
184,27,15,31-08-2025,BLOG,0,13,168,6
185,10,2,9/3/2024,BLOG,66,9,2229,255
187,45,10,29-03-2024,BLOG,197,6,2478,717
188,18,7,19-04-2025,BLOG,2,20,2009,53
189,50,9,14-10-2023,BLOG,266,4,2523,840
192,41,12,24-09-2024,SOCIALMEDIA,54,10,1556,312
193,30,2,28-07-2024,BLOG,26,9,3358,400
194,34,10,15-08-2023,SOCIALMEDIA,125,15,5719,587
195,13,10,7/6/2024,SOCIALMEDIA,1,10,76,7
196,33,4,1/12/2025,VIDEO,0,13,769,28
197,20,11,31-12-2023,VIDEO,172,4,5012,1452
198,4,12,1/2/2023,VIDEO,117,8,2336,1076
199,6,5,28-04-2025,SOCIALMEDIA,4,1,1754,63
201,14,5,27-06-2025,BLOG,0,1,786,21
202,9,2,20-04-2025,VIDEO,1,17,680,27
203,13,18,4/1/2023,SOCIALMEDIA,306,1,4496,1368
206,14,20,6/4/2025,BLOG,7,9,1992,109
208,31,18,24-04-2024,BLOG,2,15,131,32
209,25,7,10/8/2025,VIDEO,1,3,779,24
210,8,12,23-08-2023,SOCIALMEDIA,232,13,2113,624
211,15,1,24-06-2025,SOCIALMEDIA,0,12,632,17
212,17,16,6/12/2024,BLOG,3,18,379,20
214,3,1,20-05-2025,SOCIALMEDIA,0,16,423,20
215,17,3,13-12-2023,BLOG,21,14,4381,303
216,32,17,6/8/2023,VIDEO,234,4,4938,1068
217,10,12,30-01-2023,VIDEO,279,4,6297,1624
218,50,9,18-09-2024,VIDEO,80,18,2280,480
219,45,20,15-03-2023,SOCIALMEDIA,376,5,2900,1294
222,12,8,16-08-2025,BLOG,0,17,93,4
223,17,4,10/8/2025,SOCIALMEDIA,2,3,1157,42
224,11,4,18-06-2025,BLOG,4,7,1625,62
225,20,3,29-05-2023,SOCIALMEDIA,71,13,2610,245
228,35,19,2/11/2025,VIDEO,0,2,780,18
229,18,12,27-01-2023,VIDEO,291,17,2361,746
232,38,8,9/9/2023,VIDEO,105,8,4956,495
233,30,11,5/8/2025,SOCIALMEDIA,0,1,1063,20
234,23,7,13-03-2024,BLOG,7,11,191,41
238,42,15,19-11-2023,BLOG,14,9,1426,167
239,11,10,24-09-2024,VIDEO,10,11,1445,83
240,34,1,23-10-2025,VIDEO,0,20,801,38
241,4,6,4/6/2023,VIDEO,41,17,2226,478
242,38,19,13-05-2023,VIDEO,70,17,2178,280
245,39,7,15-02-2023,VIDEO,339,10,9002,2059
246,30,5,6/3/2024,VIDEO,256,20,4556,1277
247,40,1,1/2/2024,BLOG,193,9,5576,860
248,45,4,23-04-2025,BLOG,1,16,680,24
249,47,11,21-06-2025,VIDEO,0,10,194,12
250,9,15,1/3/2023,VIDEO,708,17,3931,1744
251,24,10,22-03-2025,SOCIALMEDIA,0,2,254,17
252,29,5,16-11-2025,SOCIALMEDIA,0,10,456,8
253,46,3,11/4/2023,VIDEO,363,16,2279,972
254,16,6,18-09-2025,VIDEO,0,1,328,12
256,16,15,4/1/2025,BLOG,29,15,3106,290
258,32,3,28-10-2023,SOCIALMEDIA,132,7,3715,1027
260,7,13,8/4/2025,VIDEO,14,15,1920,177
261,36,15,5/1/2025,VIDEO,12,17,852,79
262,32,6,7/7/2025,BLOG,0,10,171,6
264,35,10,20-07-2025,SOCIALMEDIA,0,16,473,23
265,10,5,24-07-2023,SOCIALMEDIA,5,1,164,64
266,13,9,19-03-2025,BLOG,0,13,553,16
267,34,7,18-11-2023,VIDEO,42,14,4348,376
268,23,12,30-01-2023,SOCIALMEDIA,235,3,5367,1627
269,43,16,22-10-2023,SOCIALMEDIA,232,3,6484,763
271,28,1,12/11/2025,SOCIALMEDIA,0,19,774,27
272,50,15,25-10-2025,VIDEO,0,8,198,8
273,10,19,11/11/2023,BLOG,60,9,506,175
274,20,2,14-02-2023,VIDEO,820,12,5486,1725
276,27,17,10/10/2024,SOCIALMEDIA,13,11,1079,73
280,21,11,20-11-2024,SOCIALMEDIA,9,18,779,88
281,34,18,6/4/2025,SOCIALMEDIA,0,9,115,5
282,35,14,19-06-2025,BLOG,1,13,998,72
283,17,16,26-05-2025,BLOG,1,10,961,29
284,30,7,1/11/2024,VIDEO,41,1,3654,231
285,12,15,4/2/2025,BLOG,25,10,2374,300
286,2,9,8/3/2025,VIDEO,6,17,745,78
287,41,17,13-11-2025,SOCIALMEDIA,0,2,625,25
288,21,10,2/7/2023,SOCIALMEDIA,255,6,7333,1200
289,16,2,24-11-2024,BLOG,40,6,2622,364
290,20,7,25-09-2023,SOCIALMEDIA,521,13,6881,2028
292,47,15,11/7/2023,BLOG,259,7,6436,1497
293,35,5,4/7/2024,SOCIALMEDIA,91,13,1712,395
294,38,16,31-10-2023,BLOG,523,15,7071,1859
295,27,17,15-12-2023,VIDEO,520,1,5666,1655
296,37,13,15-02-2023,SOCIALMEDIA,169,14,3196,1111
297,41,12,16-10-2024,VIDEO,69,12,2929,410
299,14,20,22-06-2023,SOCIALMEDIA,48,14,1026,320
302,49,20,26-11-2025,SOCIALMEDIA,0,9,683,20
303,32,1,9/8/2025,BLOG,0,17,167,2
304,43,20,18-04-2025,BLOG,18,2,2308,261
305,14,19,11/7/2023,VIDEO,152,17,6103,790
306,26,10,27-10-2025,BLOG,0,16,48,2
307,29,11,4/12/2024,BLOG,31,10,1616,190
308,40,13,15-03-2024,VIDEO,25,17,1902,365
311,33,13,13-10-2023,VIDEO,210,11,6357,968
314,27,18,29-09-2024,VIDEO,10,1,694,81
316,3,19,11/11/2024,SOCIALMEDIA,27,4,1508,196
317,42,10,16-07-2023,SOCIALMEDIA,94,16,1974,785
318,34,20,20-06-2025,SOCIALMEDIA,1,12,378,29
320,12,3,19-09-2024,VIDEO,5,8,440,85
321,27,12,21-06-2025,SOCIALMEDIA,5,15,1057,58
322,41,4,4/9/2025,VIDEO,0,15,32,0
325,35,9,27-01-2025,BLOG,7,10,1092,56
326,46,9,12/11/2024,BLOG,14,1,3117,213
327,27,14,3/1/2024,BLOG,42,20,603,133
328,26,10,28-08-2024,SOCIALMEDIA,32,11,2884,144
329,18,19,27-04-2024,VIDEO,197,3,3374,773
331,28,12,25-04-2025,SOCIALMEDIA,3,2,499,28
332,11,11,3/9/2023,BLOG,53,1,2533,355
333,50,6,26-01-2023,VIDEO,110,4,5670,734
335,19,10,17-12-2024,BLOG,11,19,1084,118
336,50,4,2/10/2024,VIDEO,41,11,1619,249
337,5,5,5/5/2024,VIDEO,75,15,1915,382
338,41,1,1/1/2025,BLOG,23,5,2000,198
340,6,14,25-03-2024,SOCIALMEDIA,455,20,5854,1604
341,14,9,6/1/2025,SOCIALMEDIA,7,10,1679,174
342,10,6,13-03-2023,BLOG,199,4,2100,713
343,36,15,19-05-2024,VIDEO,4,10,79,19
344,15,10,4/11/2025,BLOG,0,16,347,16
345,14,13,2/7/2023,VIDEO,781,19,7762,2590
346,1,20,21-08-2024,SOCIALMEDIA,20,2,1758,182
347,21,15,9/10/2023,VIDEO,244,5,2401,713
349,21,6,28-07-2024,SOCIALMEDIA,117,19,4394,592
351,24,12,19-03-2024,BLOG,4,18,478,30
353,28,9,18-01-2025,BLOG,12,11,847,126
354,27,18,10/11/2025,BLOG,0,7,720,21
355,38,2,7/11/2024,VIDEO,54,6,3382,532
356,23,5,21-01-2024,BLOG,94,2,3688,808
357,1,7,11/10/2024,SOCIALMEDIA,31,7,3251,157
358,35,6,10/3/2025,BLOG,0,4,74,2
359,5,20,2/7/2023,VIDEO,633,6,5643,1767
361,35,13,24-06-2023,VIDEO,26,15,1656,164
362,12,14,10/5/2023,SOCIALMEDIA,355,14,7779,1000
363,39,1,17-04-2024,VIDEO,97,20,2018,441
364,3,20,24-02-2023,BLOG,1284,6,7805,3328
365,15,17,9/10/2025,BLOG,0,14,448,9
366,33,13,23-09-2024,SOCIALMEDIA,27,5,2951,221
367,17,20,20-10-2025,SOCIALMEDIA,0,1,75,1
368,8,8,16-04-2024,VIDEO,185,15,4897,982
369,6,11,20-02-2023,SOCIALMEDIA,180,15,1289,449
370,45,14,12/8/2024,SOCIALMEDIA,13,7,1918,118
373,45,17,26-06-2024,SOCIALMEDIA,241,3,4519,1024
374,24,15,15-04-2024,BLOG,333,10,5248,1210
375,44,9,6/11/2025,BLOG,0,7,439,11
376,37,8,23-08-2024,BLOG,100,1,4372,899
377,16,16,30-03-2025,BLOG,1,16,148,16
378,22,18,19-08-2023,VIDEO,526,14,7680,2029
379,19,18,15-03-2024,VIDEO,66,10,1942,392
380,41,16,20-01-2025,SOCIALMEDIA,3,20,273,33
381,49,3,28-02-2025,VIDEO,10,20,2509,181
382,24,2,4/5/2023,BLOG,30,1,286,95
384,34,8,16-04-2023,SOCIALMEDIA,305,10,7361,2639
385,34,8,21-06-2024,SOCIALMEDIA,33,5,2505,324
386,22,18,10/12/2025,BLOG,0,16,448,21
387,38,8,27-11-2024,SOCIALMEDIA,74,6,2680,441
388,31,3,9/1/2023,SOCIALMEDIA,533,6,5684,1754
389,42,1,24-05-2024,SOCIALMEDIA,46,4,1548,309
390,31,7,11/9/2023,BLOG,526,15,5569,1596
392,12,6,6/3/2025,SOCIALMEDIA,10,16,972,132
393,38,4,28-06-2025,SOCIALMEDIA,4,5,1649,89
394,19,17,23-05-2023,VIDEO,41,8,1434,320
395,26,1,9/2/2023,VIDEO,681,3,4746,2012
396,30,14,25-11-2024,BLOG,30,14,1770,194
398,27,20,17-09-2025,BLOG,0,12,522,21
400,37,2,30-08-2024,BLOG,34,6,1815,324
401,41,17,16-07-2025,BLOG,1,12,1305,30
402,2,5,4/1/2023,VIDEO,950,14,9328,4574
403,22,11,18-08-2024,VIDEO,18,18,2059,119
406,36,7,9/9/2023,SOCIALMEDIA,137,16,6347,741
407,20,16,4/9/2025,BLOG,0,7,318,6
409,28,5,25-02-2024,BLOG,4,13,412,37
410,23,2,8/9/2024,SOCIALMEDIA,105,20,3711,543
411,3,12,13-01-2024,BLOG,503,20,5430,1637
413,28,8,18-08-2024,BLOG,21,5,2164,250
414,28,3,6/2/2024,SOCIALMEDIA,130,9,4684,502
415,35,16,30-05-2025,BLOG,6,15,1922,94
417,29,2,9/5/2024,BLOG,43,6,3275,256
418,35,15,2/9/2025,VIDEO,1,10,846,28
419,39,10,28-02-2023,SOCIALMEDIA,409,7,2803,978
420,23,13,30-10-2023,BLOG,188,1,4713,1086
421,35,8,31-07-2025,BLOG,1,14,557,36
422,46,8,22-08-2025,BLOG,1,15,1064,63
423,10,6,29-11-2023,BLOG,130,16,3504,1178
424,47,9,20-11-2025,VIDEO,0,2,101,1
425,26,8,5/11/2024,SOCIALMEDIA,17,20,2097,102
426,23,4,15-09-2024,VIDEO,34,12,1186,225
427,37,15,16-07-2025,BLOG,0,15,235,16
428,2,17,12/12/2025,VIDEO,0,12,120,3
429,22,13,10/2/2024,VIDEO,251,13,4450,814
430,44,6,23-11-2025,VIDEO,0,2,677,9
431,20,16,21-08-2025,VIDEO,0,20,1044,14
434,32,17,16-06-2025,BLOG,0,17,112,3
435,27,6,18-09-2024,VIDEO,9,19,580,88
437,43,11,7/3/2024,BLOG,71,5,3986,307
438,21,17,18-01-2024,SOCIALMEDIA,186,4,2678,661
439,23,14,11/5/2024,BLOG,66,13,3674,281
440,9,20,22-04-2024,BLOG,3,5,175,18
441,6,18,20-02-2024,SOCIALMEDIA,131,5,5865,712
443,5,12,5/11/2024,SOCIALMEDIA,97,8,3591,613
444,47,20,22-01-2025,BLOG,2,8,487,57
447,25,10,9/12/2025,SOCIALMEDIA,0,2,877,21
448,25,5,17-06-2025,SOCIALMEDIA,4,7,1705,130
449,25,16,27-10-2023,SOCIALMEDIA,61,10,1147,209
450,1,15,19-04-2023,SOCIALMEDIA,332,20,5462,1685
451,48,16,18-08-2024,SOCIALMEDIA,15,5,624,131
452,38,14,3/1/2025,VIDEO,15,5,1853,259
454,9,8,1/12/2023,BLOG,46,4,1701,528
455,39,19,15-04-2024,VIDEO,0,19,58,4
456,21,14,10/9/2025,VIDEO,0,8,518,13
457,36,1,17-04-2024,SOCIALMEDIA,67,16,3815,1077
459,43,2,8/12/2024,SOCIALMEDIA,9,8,1186,129
460,24,18,18-06-2023,SOCIALMEDIA,296,18,6974,1320
465,25,14,28-06-2023,BLOG,134,1,5626,497
466,20,8,4/6/2024,BLOG,52,7,3351,359
467,7,4,9/6/2023,SOCIALMEDIA,208,18,4551,1228
468,7,20,9/9/2023,SOCIALMEDIA,92,15,4974,408
469,23,4,23-10-2024,SOCIALMEDIA,2,9,171,17
470,14,1,7/2/2025,BLOG,6,4,983,64
471,2,5,9/5/2024,VIDEO,34,4,2972,216
473,46,14,5/3/2025,SOCIALMEDIA,27,3,2267,253
476,11,7,19-05-2024,BLOG,293,10,5021,1098
478,43,13,17-10-2024,SOCIALMEDIA,39,8,3326,410
479,31,19,6/10/2024,SOCIALMEDIA,34,17,2049,331
480,21,2,20-09-2023,SOCIALMEDIA,85,15,2066,387
481,27,10,16-08-2023,BLOG,206,15,3561,1185
482,44,14,30-03-2023,SOCIALMEDIA,76,7,1144,456
484,30,7,28-04-2024,SOCIALMEDIA,67,1,4059,459
485,35,20,1/5/2023,VIDEO,335,18,1970,817
486,17,13,25-04-2024,VIDEO,50,10,2158,254
487,21,7,19-03-2025,VIDEO,22,1,2050,203
488,36,20,6/1/2024,BLOG,80,8,2132,373
489,21,9,31-03-2025,VIDEO,2,20,1407,66
490,21,9,19-11-2024,SOCIALMEDIA,9,19,1409,103
493,14,3,29-08-2024,SOCIALMEDIA,74,7,3071,537
494,23,13,13-05-2024,SOCIALMEDIA,53,3,4224,509
495,42,17,19-11-2023,SOCIALMEDIA,84,20,2656,799
497,46,7,25-11-2025,BLOG,0,16,998,11
498,2,18,6/4/2024,SOCIALMEDIA,125,4,1734,452
499,10,11,28-01-2025,VIDEO,9,12,2575,97
500,48,13,25-01-2023,SOCIALMEDIA,194,18,3819,958
501,7,2,10/2/2025,BLOG,4,3,2595,108
503,39,18,24-09-2023,SOCIALMEDIA,202,4,1951,574
504,45,11,29-10-2024,BLOG,58,17,2577,420
505,24,19,16-12-2023,SOCIALMEDIA,9,5,121,37
506,24,2,8/3/2025,BLOG,1,17,763,46
507,15,13,8/3/2023,BLOG,159,8,2226,575
508,50,13,3/2/2024,VIDEO,213,7,5316,836
509,40,6,13-08-2023,SOCIALMEDIA,34,14,508,147
510,40,13,26-01-2025,BLOG,11,1,2088,132
511,26,16,25-09-2023,SOCIALMEDIA,220,16,2552,770
512,1,14,29-07-2024,VIDEO,33,8,2172,147
513,8,9,28-02-2024,BLOG,87,18,2506,408
516,7,16,11/3/2023,BLOG,123,4,4421,503
517,35,20,30-10-2024,VIDEO,35,18,2778,263
519,50,15,10/9/2023,VIDEO,39,18,1113,172
520,16,4,8/1/2023,SOCIALMEDIA,1405,9,7251,3048
522,49,16,25-08-2025,SOCIALMEDIA,0,18,807,33
523,23,1,11/8/2023,BLOG,188,7,6420,1094
524,36,14,1/7/2024,VIDEO,37,4,1089,167
525,15,7,18-10-2025,SOCIALMEDIA,0,10,99,2
526,43,5,30-12-2023,SOCIALMEDIA,440,19,6457,2136
527,2,13,23-09-2025,SOCIALMEDIA,0,15,18,0
528,1,4,27-07-2025,SOCIALMEDIA,0,19,335,8
529,40,3,27-01-2024,SOCIALMEDIA,147,18,3633,668
531,21,12,27-05-2024,BLOG,28,15,4245,235
532,44,13,28-12-2025,VIDEO,0,15,498,20
534,30,3,17-09-2024,BLOG,21,2,931,158
535,39,18,15-05-2023,SOCIALMEDIA,382,10,5497,2279
536,44,10,12/9/2023,SOCIALMEDIA,101,8,2999,328
537,7,15,9/4/2025,SOCIALMEDIA,9,7,964,82
539,49,18,29-07-2024,VIDEO,32,18,2276,204
540,22,17,14-06-2025,VIDEO,8,2,1482,105
541,9,3,4/11/2025,VIDEO,0,2,727,26
544,16,14,31-07-2023,BLOG,16,9,263,56
545,1,14,14-05-2024,SOCIALMEDIA,221,15,4882,924
548,35,6,1/5/2025,BLOG,3,1,994,67
549,41,13,7/2/2025,BLOG,18,15,1835,158
550,28,10,25-07-2025,VIDEO,1,10,678,25
553,6,19,19-12-2024,BLOG,16,19,1800,251
554,30,6,22-12-2023,SOCIALMEDIA,329,4,3370,1112
555,47,13,27-06-2024,SOCIALMEDIA,21,11,3690,287
556,32,19,12/5/2023,SOCIALMEDIA,236,4,6010,1097
557,13,5,30-01-2023,VIDEO,241,17,4281,706
558,45,13,23-06-2025,VIDEO,3,11,831,66
559,4,11,21-03-2025,VIDEO,1,12,409,15
560,33,20,21-05-2024,VIDEO,27,19,1062,235
561,34,1,13-07-2023,SOCIALMEDIA,166,3,1862,468
562,38,17,17-05-2025,VIDEO,1,8,259,14
563,7,16,13-06-2025,VIDEO,1,16,1598,68
565,20,16,29-01-2023,VIDEO,680,13,7683,2806
566,10,12,15-02-2025,SOCIALMEDIA,11,4,753,107
567,22,6,27-04-2023,VIDEO,154,15,4232,918
569,26,8,20-09-2024,BLOG,10,10,442,66
570,3,14,31-10-2025,VIDEO,0,19,579,12
572,18,13,10/7/2024,SOCIALMEDIA,104,10,2774,463
574,1,16,6/7/2024,SOCIALMEDIA,13,8,658,70
576,8,10,24-08-2024,VIDEO,19,2,1345,91
577,2,6,10/4/2023,SOCIALMEDIA,329,20,3081,849
578,25,4,27-08-2025,VIDEO,0,12,694,8
579,16,12,5/1/2024,SOCIALMEDIA,22,2,2410,207
582,33,12,13-09-2025,SOCIALMEDIA,0,8,236,10
583,8,16,30-04-2023,VIDEO,187,20,6773,1129
584,48,7,9/6/2023,SOCIALMEDIA,790,7,8032,2851
585,39,6,8/2/2024,SOCIALMEDIA,111,15,4296,467
587,46,16,1/3/2025,BLOG,25,18,1729,233
590,41,15,15-12-2025,SOCIALMEDIA,0,7,215,7
592,20,6,17-04-2023,BLOG,167,19,5607,1433
593,12,17,26-10-2023,SOCIALMEDIA,441,3,6444,2254
595,46,18,29-12-2024,VIDEO,4,1,1379,54
597,41,14,12/3/2023,VIDEO,211,11,4890,632
598,41,1,10/10/2023,BLOG,11,1,1443,138
600,3,9,25-03-2023,SOCIALMEDIA,382,17,8786,1381
601,43,4,2/4/2025,BLOG,4,6,2133,154
602,1,14,25-06-2023,BLOG,203,7,5457,639
603,42,14,26-11-2025,BLOG,0,8,336,3
605,10,13,30-07-2023,SOCIALMEDIA,171,15,5831,622
606,41,15,2/10/2024,VIDEO,106,10,3381,576
607,19,2,22-12-2023,SOCIALMEDIA,238,12,6591,825
608,33,6,29-07-2023,SOCIALMEDIA,62,16,3491,635
609,26,12,13-10-2023,SOCIALMEDIA,89,10,7057,591
610,50,14,7/6/2024,VIDEO,30,2,1278,330
613,17,11,20-01-2025,BLOG,7,7,2874,113
614,14,2,12/10/2023,VIDEO,258,11,3290,1006
615,17,14,29-12-2025,BLOG,0,17,220,9
616,12,15,18-11-2024,SOCIALMEDIA,5,20,549,29
618,17,20,9/9/2025,VIDEO,0,13,776,18
619,46,3,12/5/2025,SOCIALMEDIA,5,16,1120,118
