JourneyID,CustomerID,ProductID,VisitDate,STAGE,Action,Duration
92,88,14,9/3/2025,HOMEPAGE,View,29
93,43,8,22-08-2023,CHECKOUT,Drop-off,95.71428571
94,15,18,20-09-2024,HOMEPAGE,Click,143
95,60,8,14-09-2024,HOMEPAGE,View,182
96,22,9,28-07-2024,PRODUCTPAGE,View,212
97,92,19,26-05-2025,HOMEPAGE,View,203
98,95,8,25-05-2025,HOMEPAGE,Click,68
99,58,16,6/7/2024,CHECKOUT,Purchase,87
100,92,10,6/4/2024,PRODUCTPAGE,View,237
101,24,12,14-04-2024,HOMEPAGE,Click,37
102,33,16,23-04-2024,HOMEPAGE,View,165
103,7,11,6/12/2025,CHECKOUT,Drop-off,35.5
104,51,18,3/5/2023,HOMEPAGE,Click,156
105,68,2,19-11-2023,HOMEPAGE,View,80
106,90,11,3/10/2024,PRODUCTPAGE,View,96
107,76,19,15-03-2023,PRODUCTPAGE,View,215
108,14,5,6/3/2023,PRODUCTPAGE,View,245
109,65,7,14-08-2025,CHECKOUT,Drop-off,16.5
110,20,18,7/2/2023,PRODUCTPAGE,View,232
111,72,12,11/6/2023,HOMEPAGE,View,264
112,30,12,16-04-2025,PRODUCTPAGE,View,203
113,79,18,15-12-2025,CHECKOUT,Drop-off,271.5
114,92,10,26-06-2023,PRODUCTPAGE,View,38
115,38,14,7/1/2024,HOMEPAGE,View,297
116,27,1,29-04-2024,PRODUCTPAGE,View,297
117,46,5,14-12-2025,PRODUCTPAGE,View,103
118,26,14,25-04-2025,PRODUCTPAGE,View,71
119,93,20,13-03-2025,HOMEPAGE,Click,172
120,37,17,29-02-2024,CHECKOUT,Purchase,180
121,86,5,17-10-2025,HOMEPAGE,Click,33
122,96,19,22-10-2025,PRODUCTPAGE,Click,201
123,59,15,10/4/2024,HOMEPAGE,View,93
124,10,8,27-07-2024,PRODUCTPAGE,View,262
125,67,19,7/6/2025,CHECKOUT,Drop-off,185.3333333
126,39,4,14-01-2025,HOMEPAGE,Click,142
127,5,4,11/12/2023,HOMEPAGE,View,287
128,34,8,3/7/2023,HOMEPAGE,Click,13
129,91,20,5/7/2025,HOMEPAGE,Click,283
130,41,13,7/9/2024,HOMEPAGE,Click,73
131,98,13,9/1/2025,HOMEPAGE,View,15
132,68,14,17-06-2023,PRODUCTPAGE,View,56
133,46,20,20-06-2024,HOMEPAGE,View,74
134,40,9,14-12-2023,HOMEPAGE,Click,34
135,52,20,3/5/2025,PRODUCTPAGE,Click,168
136,77,2,29-05-2024,HOMEPAGE,View,129
137,40,6,7/2/2023,PRODUCTPAGE,View,85
138,26,18,11/5/2025,PRODUCTPAGE,View,172
139,24,5,13-11-2025,HOMEPAGE,View,248
140,11,12,26-01-2024,CHECKOUT,Drop-off,155.5
141,57,7,1/7/2024,PRODUCTPAGE,View,15
142,53,14,31-05-2024,HOMEPAGE,Click,10
143,95,17,13-03-2025,HOMEPAGE,Click,262
144,95,12,17-09-2025,HOMEPAGE,Click,179
145,60,19,21-10-2025,HOMEPAGE,Click,62
146,86,1,7/12/2025,HOMEPAGE,View,208
147,86,18,21-04-2023,HOMEPAGE,View,294
148,15,3,22-10-2025,PRODUCTPAGE,View,185
149,93,7,27-05-2024,PRODUCTPAGE,View,18
150,58,16,20-04-2024,HOMEPAGE,Click,263
151,79,20,4/11/2023,CHECKOUT,Purchase,298
152,85,5,2/7/2024,CHECKOUT,Drop-off,208.4
153,39,19,19-09-2025,HOMEPAGE,Click,253
154,85,20,4/8/2023,HOMEPAGE,View,22
155,82,2,12/5/2023,HOMEPAGE,View,195
156,26,3,18-10-2024,CHECKOUT,Drop-off,NULL
157,96,20,10/9/2025,HOMEPAGE,View,86
158,17,18,19-11-2025,HOMEPAGE,Click,97
159,36,7,21-03-2024,PRODUCTPAGE,Click,160
160,83,12,20-12-2025,CHECKOUT,Purchase,240
161,17,19,15-01-2025,PRODUCTPAGE,View,50
162,52,10,30-03-2024,PRODUCTPAGE,View,139
163,49,2,20-02-2024,HOMEPAGE,View,101
164,90,9,19-10-2025,HOMEPAGE,Click,226
165,93,15,18-09-2024,HOMEPAGE,Click,169
166,44,13,27-09-2024,CHECKOUT,Purchase,141
167,8,4,18-02-2023,PRODUCTPAGE,View,133
168,88,17,3/4/2023,PRODUCTPAGE,View,274
169,40,19,3/3/2023,HOMEPAGE,View,255
170,98,13,20-10-2025,PRODUCTPAGE,View,33
171,29,2,9/9/2023,HOMEPAGE,Click,287
172,33,8,30-10-2023,PRODUCTPAGE,Click,212
173,64,5,28-08-2024,PRODUCTPAGE,Click,231
174,62,7,12/12/2024,HOMEPAGE,Click,299
175,82,16,17-10-2025,CHECKOUT,Purchase,291
176,80,6,12/5/2023,CHECKOUT,Drop-off,173.6666667
177,5,17,6/3/2024,PRODUCTPAGE,View,237
178,93,10,3/2/2023,HOMEPAGE,View,100
179,99,5,2/6/2025,PRODUCTPAGE,View,187
180,54,17,26-11-2024,HOMEPAGE,View,110
181,44,20,19-05-2025,CHECKOUT,Drop-off,181.6666667
182,33,13,22-04-2025,PRODUCTPAGE,View,248
183,54,16,21-08-2024,PRODUCTPAGE,View,129
184,7,11,30-09-2024,PRODUCTPAGE,View,250
185,27,6,29-12-2023,PRODUCTPAGE,View,165
186,25,2,4/1/2024,PRODUCTPAGE,View,287
187,51,14,22-09-2025,CHECKOUT,Drop-off,202
188,94,2,27-01-2025,HOMEPAGE,View,21
189,57,8,20-08-2023,CHECKOUT,Drop-off,145.5
190,90,18,14-02-2024,HOMEPAGE,View,257
191,40,10,19-07-2023,HOMEPAGE,Click,100
192,82,3,31-03-2023,CHECKOUT,Purchase,118
193,88,13,22-09-2025,HOMEPAGE,Click,121
194,13,11,27-04-2025,HOMEPAGE,View,54
195,8,4,12/8/2025,HOMEPAGE,Click,16
196,25,8,23-08-2025,PRODUCTPAGE,Click,25
197,29,9,7/10/2024,PRODUCTPAGE,Click,295
198,70,8,23-12-2025,HOMEPAGE,View,275
199,43,11,2/2/2024,PRODUCTPAGE,View,17
200,83,18,24-02-2024,PRODUCTPAGE,View,78
201,75,10,25-04-2025,CHECKOUT,Drop-off,90.5
202,87,12,22-04-2023,PRODUCTPAGE,View,145
203,44,11,28-12-2024,HOMEPAGE,View,230
204,99,20,1/9/2025,HOMEPAGE,Click,21
205,41,19,3/3/2023,HOMEPAGE,View,282
206,39,5,21-04-2023,PRODUCTPAGE,View,118
207,46,3,2/2/2023,HOMEPAGE,Click,224
208,43,4,30-12-2023,PRODUCTPAGE,Drop-off,56.5
209,36,12,8/10/2025,PRODUCTPAGE,View,246
210,63,7,7/9/2023,CHECKOUT,Drop-off,190.5
211,54,9,19-04-2024,PRODUCTPAGE,View,255
212,99,15,3/3/2025,HOMEPAGE,View,269
213,54,3,7/3/2025,PRODUCTPAGE,View,145
214,33,9,10/1/2023,PRODUCTPAGE,View,200
215,71,7,8/6/2024,CHECKOUT,Drop-off,140.5
216,33,6,5/1/2023,CHECKOUT,Drop-off,177.25
217,82,16,26-08-2023,HOMEPAGE,View,118
218,19,3,4/5/2025,HOMEPAGE,View,155
219,15,10,29-12-2024,HOMEPAGE,Click,280
220,43,5,11/7/2024,PRODUCTPAGE,Click,235
221,52,12,19-08-2025,HOMEPAGE,View,213
222,66,15,2/3/2024,HOMEPAGE,View,227
223,53,1,7/3/2024,PRODUCTPAGE,View,184
224,84,10,21-03-2025,CHECKOUT,Drop-off,137.3333333
225,12,10,27-11-2023,PRODUCTPAGE,View,163
226,72,20,3/6/2023,HOMEPAGE,Click,206
227,7,6,1/5/2024,PRODUCTPAGE,Click,171
228,40,6,15-01-2023,HOMEPAGE,Click,174
229,16,17,30-01-2025,PRODUCTPAGE,Drop-off,71.75
230,78,20,13-11-2025,PRODUCTPAGE,View,176
231,61,12,31-07-2025,HOMEPAGE,View,206
232,81,2,28-06-2025,CHECKOUT,Drop-off,84.5
233,92,15,11/5/2023,PRODUCTPAGE,View,252
234,54,20,2/2/2025,PRODUCTPAGE,View,191
235,33,7,25-01-2024,PRODUCTPAGE,View,109
236,10,11,27-07-2025,HOMEPAGE,Click,209
237,29,4,26-06-2023,HOMEPAGE,Click,260
238,93,14,29-08-2025,HOMEPAGE,View,153
239,60,13,28-04-2024,CHECKOUT,Drop-off,158
240,15,9,16-09-2023,HOMEPAGE,Click,103
241,63,18,17-06-2024,CHECKOUT,Purchase,101
242,76,3,31-01-2023,HOMEPAGE,View,23
243,82,9,20-04-2024,HOMEPAGE,Click,255
244,3,5,24-04-2025,PRODUCTPAGE,Click,187
245,69,20,6/4/2024,PRODUCTPAGE,Click,283
246,90,4,10/8/2024,PRODUCTPAGE,Click,154
247,26,9,26-10-2023,HOMEPAGE,View,97
248,35,20,23-02-2024,HOMEPAGE,Click,46
249,58,7,21-07-2023,HOMEPAGE,View,133
250,81,13,12/10/2025,PRODUCTPAGE,View,209
251,13,6,10/12/2023,HOMEPAGE,View,102
252,87,19,13-01-2023,HOMEPAGE,View,208
253,71,11,7/1/2023,HOMEPAGE,Click,279
254,12,12,9/2/2025,HOMEPAGE,Click,255
255,95,9,19-09-2024,PRODUCTPAGE,Click,239
256,32,8,4/6/2025,PRODUCTPAGE,Click,59
257,30,20,7/10/2024,PRODUCTPAGE,Click,163
258,34,5,13-11-2023,HOMEPAGE,View,146
259,92,14,12/10/2024,HOMEPAGE,Click,16
260,100,17,15-07-2025,HOMEPAGE,View,265
261,23,5,7/10/2025,HOMEPAGE,View,239
262,52,16,7/10/2023,PRODUCTPAGE,View,53
263,94,8,9/3/2024,PRODUCTPAGE,View,185
264,3,2,5/9/2024,PRODUCTPAGE,View,222
265,99,16,9/3/2023,HOMEPAGE,Click,235
266,57,9,11/2/2024,HOMEPAGE,View,185
267,6,7,17-04-2025,CHECKOUT,Drop-off,99.66666667
268,67,8,2/2/2025,HOMEPAGE,View,285
269,9,7,14-11-2025,HOMEPAGE,Click,16
270,66,9,22-06-2023,CHECKOUT,Purchase,296
271,20,4,19-08-2025,CHECKOUT,Drop-off,111.6666667
272,17,10,3/8/2023,CHECKOUT,Drop-off,256
273,87,1,22-03-2025,CHECKOUT,Drop-off,203
274,95,19,28-09-2023,CHECKOUT,Drop-off,183.25
275,88,13,5/11/2023,CHECKOUT,Drop-off,209.6666667
276,27,19,22-11-2023,CHECKOUT,Drop-off,179
277,63,12,6/10/2025,PRODUCTPAGE,View,300
278,78,8,7/1/2024,PRODUCTPAGE,View,125
279,97,1,25-02-2025,CHECKOUT,Drop-off,104
280,69,15,17-09-2023,HOMEPAGE,Click,223
281,10,4,6/1/2025,HOMEPAGE,View,236
282,67,12,10/7/2024,HOMEPAGE,View,256
283,90,14,5/1/2025,PRODUCTPAGE,View,106
284,88,7,25-09-2023,HOMEPAGE,Click,278
285,58,4,11/6/2024,CHECKOUT,Purchase,269
286,51,19,1/8/2023,HOMEPAGE,View,243
287,100,13,12/1/2023,CHECKOUT,Drop-off,149.7142857
288,6,1,11/4/2023,HOMEPAGE,Click,128
289,90,12,15-08-2025,CHECKOUT,Purchase,148
290,49,20,13-04-2023,CHECKOUT,Drop-off,276
291,32,6,2/11/2023,HOMEPAGE,Click,264
292,39,15,4/6/2023,PRODUCTPAGE,Click,201
293,18,19,8/9/2023,PRODUCTPAGE,Click,77
294,41,5,31-07-2023,HOMEPAGE,Click,121
295,92,19,28-03-2023,CHECKOUT,Purchase,220
296,50,4,14-10-2024,CHECKOUT,Drop-off,146
297,74,4,4/3/2024,HOMEPAGE,Click,163
298,84,10,19-12-2024,CHECKOUT,Purchase,80
299,7,9,27-10-2025,HOMEPAGE,View,195
300,91,16,20-09-2023,CHECKOUT,Drop-off,251
301,84,3,15-01-2023,PRODUCTPAGE,View,148
302,14,10,16-08-2023,CHECKOUT,Drop-off,NULL
303,80,9,24-05-2024,HOMEPAGE,View,212
304,91,12,6/5/2023,PRODUCTPAGE,View,43
305,74,20,4/9/2025,PRODUCTPAGE,View,41
306,71,2,14-07-2023,HOMEPAGE,Click,179
307,85,11,16-02-2025,PRODUCTPAGE,Click,209
308,80,12,12/3/2025,HOMEPAGE,Click,178
309,38,11,16-08-2024,PRODUCTPAGE,Click,176
310,73,18,4/11/2023,PRODUCTPAGE,Click,216
311,33,19,10/2/2024,PRODUCTPAGE,Click,67
312,9,11,15-05-2023,CHECKOUT,Purchase,165
313,85,5,7/10/2023,PRODUCTPAGE,View,140
314,75,11,29-12-2024,HOMEPAGE,View,297
315,21,6,5/11/2023,HOMEPAGE,Click,74
316,91,19,12/11/2025,HOMEPAGE,Click,260
317,13,6,22-03-2023,HOMEPAGE,View,88
318,13,4,1/2/2025,HOMEPAGE,View,221
319,64,10,17-07-2025,HOMEPAGE,View,99
320,94,8,29-11-2025,CHECKOUT,Drop-off,276
321,10,3,24-11-2024,CHECKOUT,Drop-off,151.6666667
322,22,18,25-05-2024,PRODUCTPAGE,View,18
323,44,19,8/4/2025,HOMEPAGE,View,254
324,77,9,6/3/2025,PRODUCTPAGE,View,275
325,47,7,31-01-2023,CHECKOUT,Drop-off,147.5
326,79,19,30-11-2024,HOMEPAGE,View,69
327,11,14,29-04-2024,HOMEPAGE,View,204
328,46,16,22-12-2024,PRODUCTPAGE,View,52
329,88,15,24-02-2023,HOMEPAGE,Click,221
330,3,14,11/4/2024,CHECKOUT,Purchase,249
331,2,8,7/5/2025,PRODUCTPAGE,View,128
332,68,6,26-02-2025,HOMEPAGE,View,111
333,42,7,15-05-2024,HOMEPAGE,Click,217
334,43,18,24-09-2024,HOMEPAGE,Click,160
335,93,16,22-09-2024,PRODUCTPAGE,Click,248
336,74,11,8/3/2025,HOMEPAGE,Click,237
337,71,1,19-11-2024,HOMEPAGE,Click,94
338,51,3,18-06-2024,PRODUCTPAGE,Click,288
339,37,6,7/11/2024,PRODUCTPAGE,Drop-off,145.3333333
340,63,20,22-05-2025,PRODUCTPAGE,View,98
341,79,11,12/2/2025,HOMEPAGE,View,16
342,23,17,19-06-2024,PRODUCTPAGE,View,109
343,50,12,7/7/2025,CHECKOUT,Drop-off,299
344,77,1,5/4/2025,HOMEPAGE,View,14
345,27,6,22-12-2024,CHECKOUT,Drop-off,81
346,68,11,12/6/2024,HOMEPAGE,Click,284
347,76,16,23-06-2024,PRODUCTPAGE,Click,117
348,10,5,27-01-2025,HOMEPAGE,View,144
349,89,4,15-12-2023,PRODUCTPAGE,View,193
350,99,18,18-02-2025,PRODUCTPAGE,View,103
351,65,16,19-06-2023,HOMEPAGE,View,18
352,98,7,1/9/2025,PRODUCTPAGE,View,165
353,19,10,13-07-2024,HOMEPAGE,View,60
354,34,3,21-02-2023,HOMEPAGE,Click,110
355,97,4,18-02-2025,HOMEPAGE,Click,22
356,65,18,26-01-2024,HOMEPAGE,View,234
357,11,13,2/4/2025,HOMEPAGE,View,174
358,62,11,9/8/2023,HOMEPAGE,Click,191
359,2,17,16-03-2024,HOMEPAGE,View,141
360,63,18,28-08-2023,HOMEPAGE,Click,270
361,96,9,30-10-2025,PRODUCTPAGE,Drop-off,161.5
362,82,10,29-05-2023,HOMEPAGE,View,300
363,80,10,7/4/2023,PRODUCTPAGE,View,123
364,48,16,24-09-2025,HOMEPAGE,View,30
365,6,5,4/6/2023,CHECKOUT,Drop-off,150.625
366,37,2,8/9/2025,CHECKOUT,Drop-off,105.8
367,61,18,4/3/2023,HOMEPAGE,View,272
368,26,10,28-04-2025,PRODUCTPAGE,View,217
369,89,4,22-03-2023,PRODUCTPAGE,View,192
370,15,15,25-07-2025,PRODUCTPAGE,View,173
371,71,11,28-09-2023,PRODUCTPAGE,View,227
372,76,16,15-01-2023,HOMEPAGE,View,231
373,51,19,9/4/2024,HOMEPAGE,Click,219
374,67,13,29-08-2023,PRODUCTPAGE,Click,114
375,23,2,8/3/2025,CHECKOUT,Purchase,125
376,40,1,23-05-2025,PRODUCTPAGE,View,216
377,86,10,25-06-2025,PRODUCTPAGE,View,99
378,60,1,2/11/2023,PRODUCTPAGE,View,124
379,92,15,25-11-2024,CHECKOUT,Drop-off,194.6666667
380,1,11,29-05-2023,CHECKOUT,Drop-off,198
381,2,3,23-03-2024,PRODUCTPAGE,View,187
382,92,19,5/6/2025,PRODUCTPAGE,View,260
383,55,6,3/1/2023,PRODUCTPAGE,View,72
384,2,12,24-09-2024,CHECKOUT,Drop-off,137.6666667
385,90,2,15-04-2025,PRODUCTPAGE,View,189
386,37,6,31-07-2023,PRODUCTPAGE,View,168
387,22,4,19-12-2024,CHECKOUT,Drop-off,80
388,40,11,2/12/2024,HOMEPAGE,View,11
389,63,4,14-04-2023,PRODUCTPAGE,View,276
390,74,7,16-07-2023,CHECKOUT,Drop-off,164.4
391,74,13,20-04-2025,CHECKOUT,Drop-off,184
392,50,13,16-03-2024,PRODUCTPAGE,View,50
393,14,5,26-05-2024,PRODUCTPAGE,View,120
394,39,5,16-04-2025,PRODUCTPAGE,View,143
395,73,10,19-08-2025,HOMEPAGE,View,59
396,62,9,14-03-2023,PRODUCTPAGE,View,238
397,54,15,17-03-2023,HOMEPAGE,Click,239
398,86,17,4/3/2025,HOMEPAGE,View,290
399,26,2,3/8/2025,PRODUCTPAGE,View,108
400,28,12,30-05-2024,HOMEPAGE,View,45
401,86,20,4/4/2025,PRODUCTPAGE,View,203
402,42,4,24-11-2024,HOMEPAGE,View,278
403,47,2,21-03-2023,PRODUCTPAGE,View,112
404,30,13,22-04-2023,HOMEPAGE,View,112
405,97,7,21-08-2024,PRODUCTPAGE,View,40
406,27,7,9/5/2025,PRODUCTPAGE,View,107
407,79,6,26-02-2024,HOMEPAGE,Click,35
408,36,15,31-01-2024,HOMEPAGE,Click,182
409,90,17,28-06-2025,HOMEPAGE,Click,44
410,71,12,13-09-2023,HOMEPAGE,View,38
411,74,19,8/2/2023,HOMEPAGE,Click,231
412,3,20,8/8/2025,PRODUCTPAGE,Click,74
413,29,5,9/7/2023,PRODUCTPAGE,Click,235
414,24,15,6/5/2025,PRODUCTPAGE,Drop-off,183.25
415,56,2,26-10-2023,HOMEPAGE,View,35
416,34,6,24-09-2025,PRODUCTPAGE,View,151
417,50,12,4/2/2024,HOMEPAGE,View,205
418,97,8,4/5/2024,CHECKOUT,Drop-off,72.5
419,52,7,6/11/2023,CHECKOUT,Drop-off,159.25
420,25,16,4/9/2023,HOMEPAGE,Click,204
421,25,2,22-10-2023,PRODUCTPAGE,Click,269
422,87,6,4/10/2024,HOMEPAGE,View,263
423,26,15,12/6/2023,HOMEPAGE,Click,121
424,94,10,14-08-2023,CHECKOUT,Purchase,164
425,60,16,21-11-2024,HOMEPAGE,Click,287
426,60,20,26-02-2025,PRODUCTPAGE,Click,158
427,98,2,8/2/2023,HOMEPAGE,View,262
428,48,12,4/12/2025,HOMEPAGE,View,242
429,100,15,2/4/2023,HOMEPAGE,Click,97
430,7,20,19-01-2025,PRODUCTPAGE,Click,63
431,66,12,30-08-2025,PRODUCTPAGE,Click,229
432,73,3,22-08-2023,PRODUCTPAGE,Click,27
433,20,18,27-11-2025,PRODUCTPAGE,Click,205
434,46,4,29-09-2023,HOMEPAGE,View,94
435,45,8,20-12-2024,PRODUCTPAGE,View,134
436,91,20,15-05-2024,PRODUCTPAGE,View,206
437,43,14,8/6/2025,HOMEPAGE,Click,164
438,73,10,10/11/2024,HOMEPAGE,Click,45
439,87,12,29-02-2024,HOMEPAGE,View,252
440,2,7,12/10/2025,PRODUCTPAGE,View,187
441,3,5,23-05-2023,PRODUCTPAGE,View,51
442,74,13,25-10-2023,HOMEPAGE,View,164
443,98,5,4/9/2023,CHECKOUT,Drop-off,126.5
444,76,18,27-01-2025,HOMEPAGE,Click,220
445,4,3,9/5/2025,PRODUCTPAGE,Click,235
446,92,13,4/4/2024,HOMEPAGE,Click,108
447,64,11,15-01-2024,CHECKOUT,Purchase,65
448,27,4,30-09-2023,PRODUCTPAGE,View,279
449,15,8,10/4/2025,PRODUCTPAGE,View,83
450,68,16,2/11/2023,PRODUCTPAGE,View,20
451,17,14,27-11-2025,HOMEPAGE,View,142
452,86,4,7/10/2024,CHECKOUT,Drop-off,195.4
453,49,17,13-02-2023,HOMEPAGE,View,188
454,93,3,1/6/2023,HOMEPAGE,View,268
455,79,10,13-04-2025,PRODUCTPAGE,View,126
456,93,20,9/9/2023,CHECKOUT,Drop-off,200
457,33,19,29-09-2023,HOMEPAGE,Click,71
458,94,2,20-01-2025,CHECKOUT,Purchase,192
459,58,7,12/10/2024,HOMEPAGE,View,159
460,45,3,17-02-2023,HOMEPAGE,Click,96
461,19,5,5/9/2024,CHECKOUT,Purchase,176
462,59,6,14-04-2025,PRODUCTPAGE,View,199
463,32,17,3/2/2023,PRODUCTPAGE,View,185
464,32,1,10/10/2023,PRODUCTPAGE,View,153
465,27,1,26-08-2025,PRODUCTPAGE,View,228
466,35,20,29-07-2025,PRODUCTPAGE,View,200
467,32,3,14-10-2025,PRODUCTPAGE,View,37
468,3,19,25-06-2025,HOMEPAGE,View,215
469,18,16,27-11-2025,PRODUCTPAGE,View,33
470,76,16,23-01-2024,HOMEPAGE,Click,28
471,14,16,1/2/2024,PRODUCTPAGE,Click,10
472,28,14,9/3/2025,PRODUCTPAGE,Click,94
473,76,2,21-03-2025,PRODUCTPAGE,Click,168
474,59,3,24-03-2023,PRODUCTPAGE,Click,72
475,91,6,13-02-2025,HOMEPAGE,Click,90
476,80,4,22-08-2024,HOMEPAGE,Click,41
477,94,11,10/4/2025,PRODUCTPAGE,Click,56
478,80,7,27-08-2025,PRODUCTPAGE,Click,225
479,63,17,17-01-2023,PRODUCTPAGE,Click,296
480,30,12,23-10-2025,HOMEPAGE,Click,29
481,43,7,17-06-2025,PRODUCTPAGE,Click,261
482,72,4,14-12-2025,PRODUCTPAGE,Click,126
483,86,17,2/10/2024,HOMEPAGE,View,153
484,98,7,30-08-2023,HOMEPAGE,Click,222
485,100,4,5/3/2023,PRODUCTPAGE,Click,101
486,91,16,17-06-2023,HOMEPAGE,View,226
487,35,19,7/5/2023,CHECKOUT,Drop-off,257.6666667
488,72,16,21-08-2023,CHECKOUT,Drop-off,46
489,57,16,23-03-2024,HOMEPAGE,View,266
490,53,13,28-03-2025,PRODUCTPAGE,View,108
491,77,19,14-05-2023,CHECKOUT,Drop-off,211
492,69,20,16-05-2025,PRODUCTPAGE,View,186
493,32,7,23-04-2024,CHECKOUT,Drop-off,152.625
494,29,6,27-10-2024,CHECKOUT,Drop-off,207.6666667
495,43,2,4/2/2023,CHECKOUT,Drop-off,232.2
496,76,20,8/12/2024,HOMEPAGE,Click,66
497,55,15,18-05-2024,HOMEPAGE,View,83
498,33,20,21-09-2024,CHECKOUT,Drop-off,106
499,95,18,24-01-2024,PRODUCTPAGE,View,112
500,29,8,31-07-2025,HOMEPAGE,Click,277
